SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-8.51E-10,-1.7362E-08,-1.9139E-08,-1.8437E-08,-1.9087E-08,-1.9757E-08,-1.9357E-08,-1.8262E-08,2E-12,0,0,0,1E-12,0,0,-6E-12
0.4,1.25E-10,-9.585E-09,-1.0439E-08,-1.0919E-08,-1.0068E-08,-1.1008E-08,-1.0785E-08,-1.1107E-08,-1E-12,-1E-12,1E-12,2E-12,-1E-12,0,-1E-12,-4E-12
0.3,5.21E-10,-6.142E-09,-7.691E-09,-6.905E-09,-7.369E-09,-7.483E-09,-7.904E-09,-7.873E-09,1E-12,0,-1E-12,-1E-12,-1E-12,-1E-12,3E-12,-5E-12
0.2,7.38E-10,-4.63E-09,-5.525E-09,-4.935E-09,-5.412E-09,-5.291E-09,-5.682E-09,-5.866E-09,-1E-12,-1E-12,0,-1E-12,-1E-12,-1E-12,5E-12,-5E-12
0.1,9.06E-10,-2.99E-09,-3.202E-09,-3.462E-09,-3.823E-09,-3.819E-09,-3.956E-09,-4.168E-09,0,0,-1E-12,-1E-12,-1E-12,-1E-12,0,-1.4E-11
0,1.026E-09,-2.061E-09,-2.039E-09,-2.334E-09,-2.547E-09,-2.525E-09,-2.704E-09,-2.886E-09,0,-1E-12,-1E-12,-1E-12,-1E-12,-1E-12,5E-12,-1.1E-11
-0.1,1.082E-09,-9.17E-10,-1.391E-09,-1.158E-09,-1.68E-09,-1.693E-09,-1.819E-09,-1.83E-09,2E-12,1E-12,-1E-12,0,0,-1E-12,-2.7E-11,-8E-12
-0.2,1.249E-09,-3.42E-10,-3.64E-10,-5.11E-10,-6.51E-10,-6.06E-10,-7.35E-10,-1.183E-09,1E-12,-1E-12,0,-1E-12,-1E-12,0,-5E-12,2E-12
-0.3,1.291E-09,1.77E-10,1.41E-10,9.4E-11,-5.6E-11,2.2E-11,-1.34E-10,-1.55E-10,1E-12,0,-1E-12,0,-1E-12,-1E-12,1.4E-11,9E-12
-0.4,1.454E-09,5.56E-10,4.83E-10,5.14E-10,3.72E-10,4.1E-10,4.2E-10,4.38E-10,0,-1E-12,0,-1E-12,-1E-12,0,1E-12,1.5E-11
-0.5,1.574E-09,8.57E-10,7.83E-10,8.72E-10,7.71E-10,7.55E-10,8.55E-10,8.84E-10,0,0,-1E-12,0,0,-1E-12,1E-12,2.1E-11
-0.6,1.694E-09,1.109E-09,1.101E-09,1.155E-09,1.115E-09,1.116E-09,1.148E-09,1.231E-09,-1E-12,-1E-12,0,-1E-12,0,0,0,2.5E-11
-0.7,1.848E-09,1.32E-09,1.348E-09,1.392E-09,1.415E-09,1.405E-09,1.449E-09,1.528E-09,1E-12,1E-12,-1E-12,0,-1E-12,-1E-12,-5E-12,3.5E-11
-0.8,2.009E-09,1.534E-09,1.5E-09,1.619E-09,1.58E-09,1.658E-09,1.666E-09,1.796E-09,0,-1E-12,0,-1E-12,0,0,1E-11,3.7E-11
-0.9,2.189E-09,1.766E-09,1.764E-09,1.835E-09,1.864E-09,1.899E-09,1.921E-09,2.008E-09,1E-12,1E-12,-1E-12,0,-1E-12,-1E-12,1E-12,7E-12
-1,2.425E-09,2.031E-09,0.000000002,2.068E-09,2.049E-09,2.139E-09,2.149E-09,2.239E-09,0,-1E-12,0,-1E-12,0,0,2E-12,-2.4E-11
-1.1,2.634E-09,2.287E-09,2.25E-09,2.305E-09,2.348E-09,2.368E-09,2.392E-09,2.403E-09,1E-12,1E-12,-1E-12,0,-1E-12,-1E-12,1E-12,-6.3E-11
-1.2,2.882E-09,2.629E-09,2.527E-09,2.568E-09,2.608E-09,2.656E-09,2.656E-09,2.693E-09,-1E-12,-1E-12,0,-1E-12,0,0,1E-12,-3.5E-11
-1.3,3.209E-09,2.98E-09,2.813E-09,2.848E-09,2.925E-09,2.998E-09,2.977E-09,3.011E-09,0,0,-1E-12,-1E-12,-1E-12,-1E-12,2E-12,9E-12
-1.4,3.431E-09,3.207E-09,3.139E-09,3.195E-09,3.264E-09,3.32E-09,3.316E-09,3.53E-09,-1E-12,-1E-12,0,-1E-12,0,-1E-12,2E-12,2.6E-11
-1.5,3.871E-09,3.419E-09,3.534E-09,3.593E-09,3.652E-09,3.701E-09,3.745E-09,3.674E-09,0,0,-1E-12,0,-1E-12,-1E-12,6E-12,-2.9E-11
-1.6,4.247E-09,3.878E-09,3.817E-09,4.045E-09,4.067E-09,4.135E-09,4.095E-09,4.019E-09,-1E-12,-1E-12,0,-1E-12,0,0,1E-11,-2.8E-11
-1.7,5.129E-09,4.292E-09,4.201E-09,4.549E-09,4.568E-09,3.444E-09,3.895E-09,4.467E-09,0,1E-12,-1E-12,0,-1E-12,-1E-12,8.6E-11,-1.8E-11
-1.8,4.608E-09,4.79E-09,4.681E-09,4.225E-09,4.946E-09,4.179E-09,4.732E-09,5.078E-09,1E-12,-1E-12,1E-12,0,0,0,1.3E-10,-1.5E-11
-1.9,5.174E-09,5.197E-09,4.335E-09,4.831E-09,4.546E-09,4.88E-09,4.599E-09,5.379E-09,0,1E-12,1E-12,0,-1E-12,0,-1.2E-11,-9E-12
-2,5.543E-09,4.909E-09,5.103E-09,5.287E-09,5.231E-09,5.375E-09,5.277E-09,5.7E-09,0,1E-12,0,0,0,0,3.6E-11,-1.1E-11
-2.1,6.127E-09,5.41E-09,5.594E-09,5.823E-09,5.798E-09,5.851E-09,5.717E-09,6.288E-09,0,-1E-12,0,0,0,0,-2.3E-11,-1.6E-11
-2.2,6.672E-09,5.707E-09,6.137E-09,6.116E-09,6.378E-09,6.454E-09,6.197E-09,6.711E-09,0,0,0,0,0,0,-6.8E-11,-2.5E-11
-2.3,6.857E-09,6.444E-09,6.691E-09,6.715E-09,6.916E-09,6.929E-09,7.014E-09,7.361E-09,0,0,1E-12,0,0,0,-1.5E-11,-4E-11
-2.4,7.333E-09,6.955E-09,7.259E-09,7.288E-09,7.435E-09,7.604E-09,7.659E-09,7.825E-09,0,1E-12,0,0,0,-1E-12,-3E-12,-5.7E-11
-2.5,8.045E-09,7.577E-09,7.942E-09,8.045E-09,8.106E-09,8.268E-09,8.378E-09,8.59E-09,0,0,1E-12,0,0,-1E-12,4E-12,-6.8E-11
-2.6,8.667E-09,8.292E-09,8.481E-09,8.776E-09,9.286E-09,9.125E-09,9.09E-09,9.442E-09,0,1E-12,0,0,0,-1E-12,4E-12,-9.8E-11
-2.7,8.661E-09,8.905E-09,9.294E-09,9.501E-09,1.0154E-08,1.0119E-08,1.0043E-08,1.0027E-08,1E-12,1E-12,0,-1E-12,0,-2E-12,5E-12,-9.4E-11
-2.8,9.441E-09,9.916E-09,9.977E-09,1.0315E-08,1.1001E-08,1.0891E-08,1.0864E-08,1.1233E-08,1E-12,-1E-12,-1E-12,1E-12,-1E-12,0,-3E-12,-4.6E-11
-2.9,1.0436E-08,1.0715E-08,1.087E-08,1.1373E-08,1.1559E-08,1.2122E-08,1.1981E-08,1.2332E-08,-1E-12,0,0,-1E-12,1E-12,0,3.9E-11,1.2E-11
-3,1.1275E-08,1.1391E-08,1.1793E-08,1.2368E-08,1.2732E-08,1.306E-08,1.3211E-08,1.3524E-08,1E-12,-1E-12,-1E-12,0,0,0,1.3E-11,6.1E-11
-3.1,1.2128E-08,1.236E-08,1.2873E-08,1.3397E-08,1.3728E-08,1.4065E-08,1.4323E-08,1.4912E-08,-1E-12,0,0,0,0,0,1.5E-11,2.48E-10
-3.2,1.3181E-08,1.3524E-08,1.3908E-08,1.4631E-08,1.4825E-08,1.5372E-08,1.5576E-08,1.6324E-08,1E-12,-1E-12,-1E-12,0,0,-1E-12,5.4E-11,3.34E-10
-3.3,1.437E-08,1.4625E-08,1.5021E-08,1.5995E-08,1.6246E-08,1.6531E-08,1.7045E-08,1.7448E-08,0,1E-12,0,-1E-12,1E-12,0,2.04E-10,6E-11
-3.4,1.5538E-08,1.6202E-08,1.6415E-08,1.7136E-08,1.7825E-08,1.8191E-08,1.8681E-08,1.8449E-08,1E-12,-1E-12,0,0,-1E-12,0,4.7E-11,-8.8E-11
-3.5,1.674E-08,1.7568E-08,1.7923E-08,1.8748E-08,1.9388E-08,1.962E-08,1.998E-08,1.9829E-08,-1E-12,1E-12,0,-1E-12,0,0,-4E-12,-1.28E-10
