SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-1.138E-09,-2.647E-08,-2.7595E-08,-2.1489E-08,-2.201E-08,-2.9124E-08,-2.955E-08,-2.973E-08,0,3E-12,2E-12,7E-12,-1.9E-11,1E-12,0,-2E-12
0.4,3.15E-10,-1.3416E-08,-1.4014E-08,-1.1104E-08,-1.1549E-08,-1.4998E-08,-1.5362E-08,-1.5742E-08,0,0,-1E-12,0,-2.1E-11,1E-12,0,-1E-12
0.3,7.92E-10,-8.964E-09,-9.407E-09,-7.437E-09,-7.652E-09,-1.0127E-08,-1.0494E-08,-1.0795E-08,2E-12,0,1E-12,-8E-12,-1.8E-11,0,0,1E-12
0.2,1.083E-09,-5.9E-09,-6.245E-09,-4.928E-09,-4.991E-09,-6.759E-09,-7.055E-09,-7.303E-09,-1E-12,0,0,-3E-12,-1.6E-11,0,-1E-12,-2E-12
0.1,1.285E-09,-3.74E-09,-4.019E-09,-3.175E-09,-3.133E-09,-4.366E-09,-4.577E-09,-4.783E-09,1E-12,0,0,0,-1E-11,0,1E-12,-3E-12
0,1.408E-09,-2.302E-09,-2.536E-09,-2.012E-09,-1.974E-09,-2.692E-09,-2.772E-09,-2.905E-09,0,2E-12,0,1E-12,-1E-11,-1E-12,-1E-12,-2E-12
-0.1,1.518E-09,-7.96E-10,-9.62E-10,-5.21E-10,-4.38E-10,-1.623E-09,-1.653E-09,-1.72E-09,2E-12,0,-1E-12,-9E-12,-8E-12,0,-1E-12,-1E-12
-0.2,1.628E-09,2.3E-11,-1.86E-10,2.24E-10,2.26E-10,-8.4E-11,-6.7E-11,-9.4E-11,-1E-12,1E-12,0,-1E-12,-1E-12,0,0,-1E-12
-0.3,1.719E-09,5.05E-10,5.17E-10,6.75E-10,8.65E-10,5.42E-10,5.91E-10,6.02E-10,2E-12,-1E-12,-1E-12,0,-5E-12,0,-1E-12,-1E-12
-0.4,1.822E-09,9.38E-10,9.91E-10,1.09E-09,1.284E-09,1.166E-09,1.235E-09,1.275E-09,-3E-12,1E-12,0,8E-12,-3E-12,4E-12,0,0
-0.5,1.943E-09,1.378E-09,1.371E-09,1.539E-09,1.517E-09,1.599E-09,1.687E-09,1.747E-09,2E-12,-1E-12,0,2E-12,-6E-12,-1E-12,-1E-12,-1E-12
-0.6,2.082E-09,1.671E-09,1.679E-09,1.84E-09,1.938E-09,1.846E-09,1.959E-09,2.041E-09,0,0,0,4E-12,0,-2E-12,0,0
-0.7,2.238E-09,1.864E-09,1.986E-09,2.053E-09,2.174E-09,2.308E-09,2.451E-09,2.552E-09,3E-12,-1E-12,0,0,3E-12,-1E-12,-2E-12,-2E-12
-0.8,2.428E-09,2.228E-09,2.282E-09,2.46E-09,2.604E-09,2.59E-09,2.759E-09,2.888E-09,1E-12,1E-12,2E-12,1E-12,-8E-12,0,-1E-12,0
-0.9,2.646E-09,2.459E-09,2.635E-09,2.725E-09,2.897E-09,3.089E-09,3.285E-09,3.437E-09,1E-12,-1E-12,9E-12,0,0,0,-1E-12,-2E-12
-1,2.844E-09,2.89E-09,3.024E-09,3.205E-09,3.412E-09,3.464E-09,3.684E-09,3.856E-09,0,0,1.2E-11,-1E-12,3E-12,0,-1E-12,0
-1.1,3.248E-09,3.178E-09,3.409E-09,3.537E-09,3.778E-09,0.000000004,4.244E-09,4.432E-09,3E-12,-1E-12,-1E-12,1E-12,1E-11,-1E-12,-1E-12,-1E-12
-1.2,3.564E-09,3.66E-09,3.796E-09,4.067E-09,4.326E-09,4.411E-09,4.671E-09,4.871E-09,0,0,-1.6E-11,2E-12,8E-12,0,-1E-12,0
-1.3,4.038E-09,4.007E-09,4.189E-09,4.439E-09,4.722E-09,4.969E-09,5.228E-09,5.428E-09,1E-12,0,-3.1E-11,0,1.2E-11,-1E-12,-1E-12,-1E-12
-1.4,4.42E-09,4.516E-09,4.641E-09,4.983E-09,5.287E-09,5.37E-09,5.622E-09,5.824E-09,-1E-12,0,-2.3E-11,1E-12,2.5E-11,-1E-12,-1E-12,0
-1.5,4.969E-09,4.928E-09,5.133E-09,5.402E-09,5.725E-09,4.447E-09,4.661E-09,4.85E-09,1E-12,-1E-12,-2E-11,-3E-12,2.7E-11,0,-1E-12,3E-12
-1.6,5.405E-09,5.474E-09,4.275E-09,4.536E-09,4.809E-09,5.379E-09,5.598E-09,5.782E-09,-1E-12,0,-2E-12,-1E-12,-4E-12,0,0,-2E-12
-1.7,4.788E-09,5.9E-09,5.209E-09,5.491E-09,5.725E-09,6.083E-09,6.309E-09,6.476E-09,-1E-12,-1E-12,-6E-12,1E-12,-1.7E-11,1E-12,-1E-12,-3E-12
-1.8,5.679E-09,5.209E-09,5.901E-09,6.197E-09,6.387E-09,6.743E-09,6.967E-09,7.159E-09,0,-1E-12,-9E-12,1E-12,-4E-12,0,0,0
-1.9,6.35E-09,6.114E-09,6.524E-09,6.846E-09,7.158E-09,7.432E-09,7.676E-09,7.868E-09,-1E-12,-1E-12,-6E-12,1E-12,-5E-12,0,0,-1E-12
-2,6.992E-09,6.806E-09,7.198E-09,7.531E-09,7.837E-09,8.163E-09,8.437E-09,8.639E-09,0,-1E-12,-9E-12,-3E-12,0,-1E-12,0,-1E-12
-2.1,7.659E-09,7.5E-09,7.85E-09,8.195E-09,8.598E-09,9.173E-09,9.48E-09,9.701E-09,-1E-12,0,-4E-12,-7E-12,3E-12,-1E-12,-1E-12,-1E-12
-2.2,8.318E-09,8.18E-09,8.564E-09,8.927E-09,9.605E-09,1.002E-08,1.0363E-08,1.0606E-08,-2E-12,0,-2E-12,-2E-12,0,0,0,0
-2.3,9.048E-09,8.928E-09,9.558E-09,9.97E-09,1.0518E-08,1.1009E-08,1.1365E-08,1.1667E-08,-3E-12,0,-2E-12,0,0,-1E-12,-1E-12,-1E-12
-2.4,1.0005E-08,9.917E-09,1.0381E-08,1.0823E-08,1.1461E-08,1.1964E-08,1.237E-08,1.2696E-08,-1E-12,0,-3E-12,-2E-12,0,-1E-12,0,-1E-12
-2.5,1.0845E-08,1.0789E-08,1.1342E-08,1.1822E-08,1.2455E-08,1.3007E-08,1.3456E-08,1.3815E-08,-2E-12,-1E-12,-2E-12,-1E-12,0,-1E-12,0,-1E-12
