SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-9.99E-10,-3.8288E-08,-3.7167E-08,-3.653E-08,-3.6489E-08,-3.6751E-08,-3.713E-08,-3.7621E-08,-6E-12,-2E-12,-3E-12,-3E-12,-2E-12,-2E-12,-2E-12,-2E-12
0.4,1.048E-09,-1.7076E-08,-1.928E-08,-2.0473E-08,-2.1224E-08,-2.1824E-08,-2.2343E-08,-2.282E-08,-5E-12,-4E-12,-3E-12,-2E-12,-4E-12,-2E-12,-1E-12,0
0.3,1.685E-09,-1.0499E-08,-1.3301E-08,-1.4843E-08,-1.5683E-08,-1.6234E-08,-1.6665E-08,-1.7026E-08,-5E-12,-4E-12,-4E-12,-3E-12,-2E-12,-3E-12,-3E-12,-4E-12
0.2,1.779E-09,-6.268E-09,-8.911E-09,-1.0442E-08,-1.1232E-08,-1.1647E-08,-1.1967E-08,-1.2216E-08,-5E-12,-5E-12,-3E-12,-2E-12,-3E-12,-3E-12,-2E-12,-1E-12
0.1,2.146E-09,-3.55E-09,-5.594E-09,-6.972E-09,-7.623E-09,-7.904E-09,-8.042E-09,-8.249E-09,-6E-12,-5E-12,-5E-12,-4E-12,-2E-12,-4E-12,-3E-12,-3E-12
0,2.086E-09,-1.963E-09,-3.237E-09,-4.247E-09,-4.617E-09,-4.883E-09,-4.971E-09,-5.084E-09,-4E-12,-5E-12,-4E-12,-4E-12,-4E-12,-4E-12,-4E-12,-4E-12
-0.1,2.377E-09,3.89E-10,-1.726E-09,-2.349E-09,-2.548E-09,-2.342E-09,-2.381E-09,-2.384E-09,-5E-12,-3E-12,-4E-12,-4E-12,-4E-12,-3E-12,-3E-12,-3E-12
-0.2,2.48E-09,1.296E-09,5.87E-10,1.44E-10,6.6E-11,-9.49E-10,-9.21E-10,-9.22E-10,-5E-12,-5E-12,-3E-12,-3E-12,-1E-12,-4E-12,-3E-12,-3E-12
-0.3,2.559E-09,2.148E-09,1.621E-09,1.536E-09,1.573E-09,1.456E-09,1.564E-09,1.633E-09,-6E-12,-3E-12,-4E-12,-4E-12,-4E-12,-2E-12,-1E-12,-1E-12
-0.4,2.655E-09,2.696E-09,2.593E-09,2.451E-09,2.579E-09,2.74E-09,2.888E-09,2.983E-09,-4E-12,-5E-12,-3E-12,-2E-12,-2E-12,-3E-12,-4E-12,-3E-12
-0.5,2.779E-09,3.163E-09,3.288E-09,3.395E-09,3.592E-09,3.601E-09,3.771E-09,3.886E-09,-5E-12,-4E-12,-4E-12,-4E-12,-3E-12,-2E-12,-1E-12,-1E-12
-0.6,2.911E-09,3.537E-09,3.841E-09,4.069E-09,4.202E-09,4.493E-09,4.696E-09,4.828E-09,-4E-12,-5E-12,-3E-12,-3E-12,-2E-12,-4E-12,-3E-12,-3E-12
-0.7,3.088E-09,3.915E-09,4.356E-09,2.505E-09,4.968E-09,5.047E-09,5.386E-09,5.527E-09,-5E-12,-4E-12,-4E-12,-2E-12,-4E-12,-2E-12,-1E-12,-1E-12
-0.8,3.091E-09,4.221E-09,4.775E-09,3.823E-09,5.489E-09,5.728E-09,3.662E-09,3.767E-09,-4E-12,-5E-12,-3E-12,-2E-12,-3E-12,-4E-12,-1E-12,-1E-12
-0.9,3.515E-09,4.569E-09,2.885E-09,4.425E-09,3.724E-09,6.227E-09,5.07E-09,5.223E-09,-5E-12,-4E-12,-3E-12,-2E-12,-3E-12,-2E-12,-1E-12,-1E-12
-1,3.672E-09,2.586E-09,4.116E-09,4.963E-09,4.933E-09,4.338E-09,5.748E-09,5.931E-09,-4E-12,-3E-12,-3E-12,-2E-12,-2E-12,-2E-12,-2E-12,-1E-12
-1.1,4.186E-09,3.875E-09,4.614E-09,5.332E-09,5.567E-09,5.58E-09,6.306E-09,6.504E-09,-5E-12,-3E-12,-3E-12,-2E-12,-3E-12,-2E-12,-1E-12,-1E-12
-1.2,4.47E-09,4.405E-09,5.098E-09,5.741E-09,6.014E-09,6.161E-09,6.718E-09,6.916E-09,-5E-12,-3E-12,-3E-12,-3E-12,-2E-12,-2E-12,-2E-12,-1E-12
-1.3,5.098E-09,4.91E-09,5.451E-09,6.046E-09,6.444E-09,6.657E-09,7.118E-09,7.332E-09,-3E-12,-3E-12,-3E-12,-2E-12,-3E-12,-3E-12,-2E-12,-1E-12
-1.4,5.446E-09,5.331E-09,5.871E-09,6.422E-09,6.777E-09,7.023E-09,7.421E-09,7.643E-09,-4E-12,-4E-12,-2E-12,-3E-12,-3E-12,-2E-12,-2E-12,-1E-12
-1.5,3.976E-09,5.869E-09,6.259E-09,6.763E-09,7.196E-09,7.464E-09,7.826E-09,8.042E-09,-4E-12,-3E-12,-3E-12,-3E-12,-3E-12,-2E-12,-2E-12,-1E-12
-1.6,5.472E-09,6.336E-09,6.72E-09,7.14E-09,7.545E-09,7.819E-09,8.704E-09,8.944E-09,-4E-12,-3E-12,-3E-12,-3E-12,-3E-12,-2E-12,-3E-12,-3E-12
-1.7,6.448E-09,6.928E-09,7.182E-09,7.631E-09,8.041E-09,8.318E-09,9.143E-09,9.453E-09,-5E-12,-3E-12,-3E-12,-2E-12,-2E-12,-2E-12,-1E-12,-1E-12
-1.8,7.344E-09,7.52E-09,7.807E-09,8.218E-09,9.07E-09,9.386E-09,9.942E-09,1.0223E-08,-4E-12,-3E-12,-3E-12,-3E-12,-3E-12,-3E-12,-4E-12,-4E-12
-1.9,8.739E-09,8.212E-09,8.459E-09,9.308E-09,9.808E-09,1.0157E-08,1.0624E-08,1.0876E-08,-6E-12,-3E-12,-3E-12,-4E-12,-3E-12,-2E-12,-2E-12,-1E-12
-2,9.717E-09,9.426E-09,9.629E-09,1.0158E-08,1.0808E-08,1.1188E-08,1.1632E-08,1.1919E-08,-8E-12,-5E-12,-4E-12,-3E-12,-4E-12,-4E-12,-4E-12,-3E-12
-2.1,1.0889E-08,1.0245E-08,1.0545E-08,1.1211E-08,1.1794E-08,1.2218E-08,1.266E-08,1.2924E-08,-4E-12,-3E-12,-3E-12,-3E-12,-2E-12,-2E-12,-2E-12,-2E-12
-2.2,1.2005E-08,1.1264E-08,1.1539E-08,1.2271E-08,1.29E-08,1.3382E-08,1.3858E-08,1.4236E-08,-4E-12,-5E-12,-4E-12,-2E-12,-4E-12,-3E-12,-4E-12,-4E-12
-2.3,1.3238E-08,1.2259E-08,1.2612E-08,1.3468E-08,1.421E-08,1.4695E-08,1.5267E-08,1.566E-08,-4E-12,-3E-12,-3E-12,-4E-12,-3E-12,-1E-12,-2E-12,-1E-12
