SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-9.18E-10,-3.1766E-08,-3.2308E-08,-3.246E-08,-3.2483E-08,-3.2496E-08,-3.2911E-08,-3.3166E-08,7.27E-10,2.104E-08,2.2084E-08,2.2569E-08,2.2974E-08,2.3336E-08,2.3855E-08,2.4247E-08
0.4,9.18E-10,-1.5427E-08,-1.6576E-08,-1.7135E-08,-1.7606E-08,-0.000000018,-1.8528E-08,-1.8925E-08,-1E-11,1.364E-08,1.4881E-08,1.5262E-08,1.6065E-08,1.6503E-08,1.7029E-08,1.7431E-08
0.3,1.386E-09,-9.801E-09,-1.102E-08,-1.1408E-08,-1.2155E-08,-1.2557E-08,-1.3047E-08,-1.3425E-08,-1.05E-10,8.909E-09,1.0134E-08,1.0536E-08,1.1454E-08,1.1699E-08,1.2326E-08,1.2701E-08
0.2,4.4E-10,-6.084E-09,-7.198E-09,-7.591E-09,-8.37E-09,-8.578E-09,-9.111E-09,-9.43E-09,-1.26E-10,5.814E-09,6.882E-09,7.276E-09,8.025E-09,8.21E-09,8.705E-09,9.015E-09
0.1,1.602E-09,-3.59E-09,-4.527E-09,-4.863E-09,-5.489E-09,-5.618E-09,-6.021E-09,-6.27E-09,-5.25E-10,3.723E-09,4.592E-09,4.922E-09,5.481E-09,5.611E-09,5.969E-09,6.202E-09
0,1.691E-09,-2.278E-09,-2.955E-09,-2.898E-09,-3.348E-09,-3.422E-09,-3.697E-09,-3.864E-09,-6.69E-10,2.29E-09,2.936E-09,3.204E-09,3.595E-09,3.664E-09,3.9E-09,4.054E-09
-0.1,1.969E-09,-3.78E-10,-1.031E-09,-1.908E-09,-2.169E-09,-2.177E-09,-2.312E-09,-2.398E-09,-7.84E-10,1.177E-09,1.658E-09,1.995E-09,2.227E-09,2.239E-09,2.362E-09,2.456E-09
-0.2,2.076E-09,5.44E-10,1.56E-10,-1.65E-10,-3.39E-10,-1.97E-10,-3.76E-10,-4.13E-10,-8.82E-10,4.45E-10,7.77E-10,9.35E-10,1.071E-09,1.03E-09,1.093E-09,1.134E-09
-0.3,2.021E-09,1.186E-09,9.39E-10,8.43E-10,7.58E-10,8.33E-10,8.24E-10,8.29E-10,-9.65E-10,-1.61E-10,5.5E-11,1.29E-10,2.66E-10,1.88E-10,4.03E-10,4.08E-10
-0.4,2.263E-09,1.719E-09,1.578E-09,1.556E-09,1.51E-09,1.612E-09,7.84E-10,8.22E-10,-1.056E-09,-5.34E-10,-4.18E-10,-4.04E-10,-4.8E-10,-5.85E-10,-3.47E-10,-3.73E-10
