SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-2.097E-09,-5.1898E-08,-5.7216E-08,-6.1245E-08,-6.2657E-08,-6.4433E-08,-6.5712E-08,-6.7247E-08,1.774E-09,3.5672E-08,4.2071E-08,4.6059E-08,4.6807E-08,4.8267E-08,4.904E-08,5.0264E-08
0.4,1.512E-09,-2.3758E-08,-2.943E-08,-3.2797E-08,-3.311E-08,-3.4201E-08,-3.4611E-08,-3.5498E-08,6.5E-10,2.1212E-08,2.6598E-08,2.9777E-08,2.9975E-08,3.0983E-08,3.1344E-08,3.2187E-08
0.3,-5E-12,-1.2786E-08,-1.7088E-08,-1.9565E-08,-1.9518E-08,-2.0209E-08,-2.0338E-08,-2.0914E-08,2.95E-10,1.0296E-08,1.6045E-08,1.8402E-08,1.8345E-08,1.899E-08,1.9148E-08,1.9708E-08
0.2,2.08E-10,-4.975E-09,-9.07E-09,-1.0569E-08,-1.0558E-08,-1.0649E-08,-1.0658E-08,-1.1193E-08,9.4E-11,5.091E-09,8.954E-09,1.0525E-08,1.0318E-08,1.0776E-08,1.0851E-08,1.1145E-08
0.1,3.36E-10,-2.192E-09,-3.681E-09,-4.74E-09,-4.475E-09,-4.751E-09,-4.755E-09,-4.881E-09,-3E-11,2.363E-09,4.639E-09,5.458E-09,5.242E-09,5.522E-09,5.565E-09,5.739E-09
0,4.22E-10,1.901E-09,-1.863E-09,-2.421E-09,-2.227E-09,-2.382E-09,-2.407E-09,-2.488E-09,-1.16E-10,8.72E-10,2.125E-09,2.56E-09,2.467E-09,2.625E-09,2.663E-09,2.763E-09
-0.1,5.43E-10,4.48E-10,2.62E-09,2.442E-09,2.66E-09,2.64E-09,2.684E-09,2.697E-09,-2.02E-10,2.91E-10,6.46E-10,8.82E-10,8.55E-10,9.41E-10,9.66E-10,1.014E-09
-0.2,6.34E-10,3.23E-10,8.02E-10,6.11E-10,6.69E-10,6.33E-10,6.24E-10,5.84E-10,-2.91E-10,-1.7E-10,1.26E-10,2.97E-10,2.53E-10,3.09E-10,3.33E-10,3.78E-10
-0.3,8.41E-10,1.605E-09,1.4E-09,1.26E-09,1.275E-09,1.293E-09,1.284E-09,1.285E-09,-4.15E-10,-6.56E-10,-3.78E-10,-2.5E-10,-2.66E-10,-2.4E-10,-2.21E-10,-2.07E-10
-0.4,1.055E-09,4.961E-09,2.007E-09,1.96E-09,1.987E-09,1.993E-09,2.02E-09,2.021E-09,-5.63E-10,-1.975E-09,-9.74E-10,-7.24E-10,-7.4E-10,-7.39E-10,-7.35E-10,-7.2E-10
-0.5,1.339E-09,6.101E-09,5.827E-09,2.631E-09,2.667E-09,2.648E-09,2.714E-09,2.728E-09,-8.21E-10,-2.976E-09,-2.712E-09,-1.432E-09,-1.454E-09,-1.371E-09,-1.471E-09,-1.211E-09
-0.6,3.984E-09,6.903E-09,7.116E-09,4.89E-09,4.96E-09,6.694E-09,5.648E-09,2.028E-09,-1.611E-09,-3.836E-09,-4.022E-09,-2.984E-09,-3.019E-09,-3.434E-09,-3.195E-09,-1.338E-09
-0.7,4.742E-09,7.564E-09,8.179E-09,8.36E-09,8.48E-09,8.174E-09,8.843E-09,3.456E-09,-2.181E-09,-4.71E-09,-5.216E-09,-4.753E-09,-4.84E-09,-5.076E-09,-4.891E-09,-2.18E-09
-0.8,5.299E-09,8.141E-09,8.939E-09,1.0001E-08,1.0163E-08,9.239E-09,1.05E-08,8.176E-09,-2.64E-09,-5.37E-09,-6.294E-09,-6.007E-09,-6.028E-09,-6.414E-09,-6.183E-09,-4.561E-09
-0.9,5.819E-09,8.578E-09,9.695E-09,1.1328E-08,1.1447E-08,1.0119E-08,1.1836E-08,1.0397E-08,-3.064E-09,-5.979E-09,-7.262E-09,-7.055E-09,-7.15E-09,-6.948E-09,-7.361E-09,-6.185E-09
-1,6.313E-09,9.05E-09,1.0341E-08,1.2497E-08,1.2629E-08,1.2629E-08,1.3107E-08,1.2059E-08,-3.557E-09,-6.482E-09,-7.51E-09,-8.032E-09,-8.03E-09,-8.047E-09,-8.382E-09,-7.511E-09
