SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-1.009E-09,-3.8516E-08,-4.3769E-08,-4.7262E-08,-5.0394E-08,-5.2568E-08,-5.467E-08,-5.6195E-08,8.59E-10,2.414E-08,2.9094E-08,3.2428E-08,3.4828E-08,3.6404E-08,3.8046E-08,3.9287E-08
0.4,1.095E-09,-1.524E-08,-1.9017E-08,-2.1599E-08,-2.3305E-08,-2.4428E-08,-2.571E-08,-2.6616E-08,3.26E-10,1.386E-08,1.7353E-08,1.9791E-08,2.1294E-08,2.23E-08,2.3487E-08,2.4336E-08
0.3,2.3E-11,-8.194E-09,-1.0617E-08,-1.2353E-08,-1.3339E-08,-1.4051E-08,-1.4946E-08,-1.552E-08,1.48E-10,8.034E-09,1.0251E-08,1.1954E-08,1.2863E-08,1.3364E-08,1.4235E-08,1.4787E-08
0.2,1.43E-10,-4.273E-09,-5.742E-09,-6.857E-09,-7.364E-09,-7.667E-09,-7.962E-09,-8.289E-09,3.5E-11,4.515E-09,5.874E-09,6.963E-09,7.508E-09,7.774E-09,8.403E-09,8.736E-09
0.1,2.22E-10,-2.375E-09,-3.193E-09,-3.215E-09,-3.526E-09,-3.64E-09,-4.064E-09,-4.227E-09,-4.1E-11,2.395E-09,3.199E-09,3.875E-09,4.213E-09,4.363E-09,4.786E-09,4.968E-09
0,2.75E-10,5.3E-10,1.34E-10,-2.013E-09,-2.245E-09,-2.334E-09,-2.582E-09,-2.678E-09,-9.3E-11,1.041E-09,1.528E-09,2.154E-09,2.392E-09,2.486E-09,2.725E-09,2.823E-09
-0.1,3.5E-10,1.654E-09,1.516E-09,1.176E-09,1.062E-09,1.072E-09,9.85E-10,9.96E-10,-1.44E-10,4.14E-10,7.23E-10,8.81E-10,1.064E-09,1.312E-09,1.258E-09,1.315E-09
-0.2,5.98E-10,3.22E-10,1.3E-10,2.237E-09,-6.53E-10,-3.35E-10,2.169E-09,2.209E-09,-3.46E-10,1.41E-10,3.56E-10,3.82E-10,7.82E-10,7.77E-10,6.61E-10,6.99E-10
-0.3,5.43E-10,6.23E-10,5.22E-10,4.31E-10,-2.81E-10,1.28E-10,1.91E-10,1.72E-10,-3.01E-10,-1.35E-10,1.2E-11,2.01E-10,3.4E-10,3.59E-10,4.09E-10,4.34E-10
-0.4,2.111E-09,9.34E-10,9.06E-10,7.3E-10,5.54E-10,5.31E-10,5.19E-10,5.12E-10,-6.13E-10,-3.73E-10,-2.83E-10,-9.2E-11,2.1E-11,5.1E-11,9.6E-11,1.11E-10
-0.5,2.452E-09,1.242E-09,1.296E-09,1.134E-09,3.48E-10,8.95E-10,9.16E-10,9.21E-10,-8.16E-10,-6.75E-10,-6.94E-10,-3.84E-10,-2.5E-10,-2.19E-10,-1.93E-10,-1.84E-10
-0.6,2.758E-09,3.795E-09,4.208E-09,1.541E-09,1.344E-09,1.291E-09,1.316E-09,1.335E-09,-1.026E-09,-1.611E-09,-1.812E-09,-6.8E-10,-5.31E-10,-4.88E-10,-4.75E-10,-4.76E-10
-0.7,3.148E-09,4.715E-09,5.334E-09,2.007E-09,1.201E-09,1.738E-09,1.781E-09,1.815E-09,-1.294E-09,-2.294E-09,-2.671E-09,-1.156E-09,-9.99E-10,-7.99E-10,-7.97E-10,-8.07E-10
-0.8,3.575E-09,5.409E-09,6.208E-09,5.274E-09,2.136E-09,2.279E-09,2.319E-09,2.377E-09,-1.602E-09,-2.944E-09,-3.465E-09,-2.592E-09,-1.336E-09,-1.151E-09,-1.36E-09,-1.384E-09
-0.9,4.093E-09,6.095E-09,6.964E-09,6.507E-09,5.348E-09,2.787E-09,4.671E-09,4.822E-09,-1.962E-09,-3.542E-09,-4.299E-09,-3.719E-09,-2.862E-09,-1.667E-09,-2.715E-09,-2.783E-09
-1,4.67E-09,6.704E-09,7.726E-09,7.52E-09,7.256E-09,6.315E-09,7.456E-09,7.655E-09,-2.436E-09,-4.2E-09,-5.042E-09,-4.739E-09,-4.041E-09,-3.429E-09,-4.031E-09,-4.132E-09
