SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-2.252E-09,-4.1897E-08,-4.2783E-08,-4.3698E-08,-4.46E-08,-4.5623E-08,-4.6393E-08,-4.7136E-08,1.906E-09,2.8647E-08,3.1689E-08,3.3259E-08,3.4436E-08,3.5507E-08,3.6265E-08,3.704E-08
0.4,9.59E-10,-2.1055E-08,-2.4408E-08,-2.5905E-08,-2.6918E-08,-2.7794E-08,-2.8434E-08,-2.9112E-08,7.46E-10,1.9121E-08,2.2564E-08,2.4092E-08,2.5086E-08,2.5916E-08,2.6547E-08,2.7185E-08
0.3,4.48E-10,-1.3386E-08,-1.6649E-08,-1.7986E-08,-1.8777E-08,-1.9434E-08,-1.9929E-08,-2.0457E-08,9E-11,1.2619E-08,1.5717E-08,1.7026E-08,1.7806E-08,1.8419E-08,1.89E-08,1.9384E-08
0.2,8.26E-10,-7.994E-09,-1.0705E-08,-1.1797E-08,-1.2348E-08,-1.2797E-08,-1.3158E-08,-1.3533E-08,-2.34E-10,7.991E-09,1.0455E-08,1.1315E-08,1.199E-08,1.2427E-08,1.2784E-08,1.3128E-08
0.1,1.047E-09,-4.315E-09,-6.325E-09,-6.897E-09,-7.391E-09,-7.695E-09,-7.941E-09,-8.159E-09,-7.3E-11,4.713E-09,6.424E-09,6.956E-09,7.429E-09,7.719E-09,7.966E-09,8.195E-09
0,9.92E-10,-2.466E-09,-2.987E-09,-3.265E-09,-3.559E-09,-3.693E-09,-3.847E-09,-4.048E-09,-4.59E-10,2.587E-09,3.535E-09,3.815E-09,4.095E-09,4.272E-09,4.429E-09,4.579E-09
-0.1,1.242E-09,5.58E-10,-1.484E-09,-1.562E-09,-1.698E-09,-1.79E-09,-1.874E-09,-1.944E-09,-6.8E-10,9.26E-10,1.763E-09,1.807E-09,1.947E-09,2.081E-09,2.121E-09,2.195E-09
-0.2,9.76E-10,1.88E-09,1.502E-09,1.649E-09,1.673E-09,1.673E-09,1.687E-09,1.685E-09,-4.32E-10,2.09E-10,4.59E-10,4.22E-10,4.67E-10,5.16E-10,5.42E-10,5.8E-10
-0.3,9.93E-10,7.66E-10,8.14E-10,9.52E-10,9.86E-10,9.78E-10,9.9E-10,9.93E-10,-4.95E-10,-4.2E-11,2.1E-11,-2.2E-11,-2.4E-11,-1.4E-11,4E-12,2.5E-11
-0.4,1.16E-09,1.081E-09,1.289E-09,1.445E-09,1.507E-09,1.545E-09,1.546E-09,1.58E-09,-5.74E-10,-3.77E-10,-4.34E-10,-4.99E-10,-5.2E-10,-5.23E-10,-5.16E-10,-5.09E-10
