SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-8.14E-10,-3.2732E-08,-3.1341E-08,-3.0579E-08,-3.0557E-08,-3.0769E-08,-3.1053E-08,-3.1215E-08,6.57E-10,2.2567E-08,2.3287E-08,2.3543E-08,2.392E-08,2.4208E-08,2.4605E-08,2.4895E-08
0.4,1.156E-09,-1.6808E-08,-1.8656E-08,-1.9133E-08,-1.9529E-08,-1.9877E-08,-2.0225E-08,-2.0584E-08,-1.06E-10,1.4898E-08,1.728E-08,1.7764E-08,1.8235E-08,1.8675E-08,1.905E-08,1.9397E-08
0.3,1.623E-09,-1.0734E-08,-1.349E-08,-1.4277E-08,-1.4724E-08,-1.513E-08,-1.5437E-08,-1.5782E-08,-3.71E-10,9.646E-09,1.2635E-08,1.3538E-08,1.4057E-08,1.4418E-08,1.4759E-08,1.5084E-08
0.2,1.851E-09,-6.513E-09,-9.494E-09,-1.041E-08,-1.0969E-08,-1.1293E-08,-1.1571E-08,-1.1805E-08,-6.56E-10,6.13E-09,9.013E-09,9.975E-09,1.0505E-08,1.0941E-08,1.1139E-08,1.1333E-08
0.1,2.046E-09,-3.618E-09,-6.299E-09,-7.234E-09,-7.734E-09,-8.074E-09,-8.175E-09,-8.34E-09,-8.25E-10,3.69E-09,6.156E-09,7.047E-09,7.54E-09,7.85E-09,7.972E-09,8.113E-09
0,2.041E-09,-2.015E-09,-3.763E-09,-4.629E-09,-4.999E-09,-5.246E-09,-5.299E-09,-5.378E-09,-8.13E-10,2.032E-09,3.874E-09,4.673E-09,5.03E-09,5.289E-09,5.337E-09,5.413E-09
-0.1,2.248E-09,-3.8E-11,-2.118E-09,-2.741E-09,-2.978E-09,-3.137E-09,-3.151E-09,-3.193E-09,-9.13E-10,7.61E-10,2.157E-09,2.743E-09,2.988E-09,3.145E-09,3.162E-09,3.202E-09
-0.2,2.203E-09,1.091E-09,-8.9E-11,-6.01E-10,-7.48E-10,-8.4E-10,-7.92E-10,-7.77E-10,-9.76E-10,-1.59E-10,7.31E-10,1.129E-09,1.274E-09,1.353E-09,1.338E-09,1.341E-09
-0.3,2.279E-09,1.736E-09,1.188E-09,8.7E-10,8.06E-10,7.87E-10,8.55E-10,8.98E-10,-1.063E-09,-6.62E-10,-3.52E-10,-1.29E-10,-7.7E-11,-3.2E-11,-9.7E-11,-1.08E-10
-0.4,2.387E-09,2.209E-09,1.972E-09,1.871E-09,1.904E-09,2.039E-09,2.038E-09,2.085E-09,-1.155E-09,-1.112E-09,-1.032E-09,-9.62E-10,-9.84E-10,-9.96E-10,-1.064E-09,-1.088E-09
-0.5,2.655E-09,2.644E-09,2.629E-09,2.751E-09,2.851E-09,2.911E-09,3.05E-09,3.108E-09,-1.285E-09,-1.469E-09,-1.617E-09,-1.676E-09,-1.759E-09,-1.825E-09,-1.894E-09,-1.933E-09
-0.6,2.651E-09,2.988E-09,3.149E-09,3.297E-09,3.451E-09,3.575E-09,3.699E-09,3.767E-09,-1.409E-09,-1.77E-09,-2.087E-09,-2.244E-09,-2.383E-09,-2.477E-09,-2.561E-09,-2.609E-09
-0.7,2.961E-09,3.428E-09,3.612E-09,3.941E-09,4.15E-09,4.306E-09,4.439E-09,4.54E-09,-1.578E-09,-2.084E-09,-2.497E-09,-2.761E-09,-2.951E-09,-3.079E-09,-3.184E-09,-3.25E-09
