SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-9.33E-10,-1.8245E-08,-1.8947E-08,-1.9498E-08,-1.8739E-08,-1.8646E-08,-1.8685E-08,-1.9259E-08,8.5E-10,1.3408E-08,1.3971E-08,1.4691E-08,1.4138E-08,1.3993E-08,1.4381E-08,1.4886E-08
0.4,2.2E-11,-1.0312E-08,-1.077E-08,-1.1259E-08,-1.1177E-08,-1.09E-08,-1.1356E-08,-1.167E-08,3.68E-10,9.306E-09,7.949E-09,1.0426E-08,1.0247E-08,9.794E-09,1.0341E-08,1.0741E-08
0.3,3.85E-10,-7.066E-09,-6.072E-09,-7.742E-09,-7.886E-09,-7.604E-09,-8.039E-09,-8.356E-09,9.5E-11,6.512E-09,5.74E-09,7.18E-09,7.415E-09,7.103E-09,7.533E-09,7.729E-09
0.2,5.57E-10,-4.837E-09,-4.279E-09,-5.494E-09,-5.593E-09,-5.365E-09,-5.771E-09,-5.95E-09,-1.03E-10,4.505E-09,4.037E-09,5.341E-09,5.266E-09,5.076E-09,5.589E-09,5.67E-09
0.1,7.9E-10,-3.251E-09,-2.932E-09,-3.84E-09,-3.895E-09,-3.689E-09,-4.068E-09,-4.107E-09,-2.89E-10,3.19E-09,2.877E-09,3.804E-09,3.826E-09,3.7E-09,4.012E-09,4.053E-09
0,9.29E-10,-2.076E-09,-1.91E-09,-2.427E-09,-2.589E-09,-2.485E-09,-2.791E-09,-2.763E-09,-4.3E-10,2.03E-09,1.911E-09,2.427E-09,2.657E-09,2.601E-09,2.835E-09,2.86E-09
-0.1,1.063E-09,-0.000000001,-8.87E-10,-1.596E-09,-1.783E-09,-1.721E-09,-1.899E-09,-1.874E-09,-4.79E-10,1.324E-09,1.198E-09,1.598E-09,1.796E-09,1.732E-09,1.863E-09,1.891E-09
-0.2,1.072E-09,-3.58E-10,-2.9E-10,-5.83E-10,-8.01E-10,-6.74E-10,-7.87E-10,-8.01E-10,-5.65E-10,7.03E-10,6.7E-10,9.34E-10,1.097E-09,1.009E-09,1.101E-09,1.114E-09
-0.3,1.18E-09,1.51E-10,1.63E-10,-2.4E-11,-1.24E-10,-5.7E-11,-1.21E-10,-1.32E-10,-6.6E-10,2.3E-10,2.85E-10,4.56E-10,5.27E-10,4.7E-10,5.5E-10,5.52E-10
-0.4,1.31E-09,5.26E-10,5.06E-10,3.93E-10,3.65E-10,4.17E-10,3.18E-10,3.73E-10,-7.49E-10,-3.9E-11,-1.3E-11,9.8E-11,1.37E-10,4.6E-11,1.48E-10,1.33E-10
-0.5,1.368E-09,7.42E-10,7.86E-10,6.55E-10,6.62E-10,7.8E-10,6.82E-10,7.03E-10,-8.28E-10,-2.69E-10,-2.92E-10,-1.75E-10,-1.8E-10,-2.81E-10,-1.87E-10,-1.95E-10
-0.6,1.471E-09,1.014E-09,1.026E-09,9.06E-10,9.99E-10,1.012E-09,9.77E-10,9.98E-10,-9.46E-10,-4.72E-10,-5.19E-10,-4.13E-10,-4.83E-10,-4.97E-10,-4.64E-10,-4.52E-10
-0.7,1.585E-09,1.157E-09,1.194E-09,1.201E-09,1.279E-09,1.237E-09,1.239E-09,1.254E-09,-1.081E-09,-6.6E-10,-6.8E-10,-6.28E-10,-7.43E-10,-7.13E-10,-7.13E-10,-7.23E-10
-0.8,1.784E-09,1.341E-09,1.371E-09,1.344E-09,1.509E-09,1.51E-09,1.528E-09,1.505E-09,-1.185E-09,-8.49E-10,-8.53E-10,-8.27E-10,-9.18E-10,-9.11E-10,-9.25E-10,-9.42E-10
-0.9,1.911E-09,1.604E-09,1.566E-09,1.544E-09,1.647E-09,1.648E-09,1.684E-09,1.742E-09,-1.382E-09,-1.026E-09,-1.049E-09,-1.026E-09,-1.1E-09,-1.105E-09,-1.138E-09,-1.198E-09
-1,2.102E-09,1.779E-09,1.772E-09,1.822E-09,1.871E-09,1.86E-09,1.917E-09,2.056E-09,-1.585E-09,-1.261E-09,-1.262E-09,-1.331E-09,-1.322E-09,-1.319E-09,-1.373E-09,-1.434E-09
-1.1,2.355E-09,2.048E-09,2.005E-09,2.002E-09,2.178E-09,2.136E-09,2.219E-09,2.279E-09,-1.787E-09,-1.604E-09,-1.415E-09,-1.499E-09,-1.544E-09,-1.536E-09,-1.588E-09,-1.725E-09
-1.2,2.562E-09,2.34E-09,2.187E-09,2.247E-09,2.538E-09,2.339E-09,2.393E-09,2.59E-09,-2.06E-09,-1.826E-09,-1.71E-09,-1.713E-09,-1.968E-09,-1.798E-09,-1.838E-09,-2.062E-09
-1.3,2.86E-09,2.593E-09,2.527E-09,2.65E-09,2.865E-09,2.598E-09,2.681E-09,3.013E-09,-2.367E-09,-2.141E-09,-1.987E-09,-2.57E-09,-2.299E-09,-2.068E-09,-2.114E-09,-2.426E-09
-1.4,3.216E-09,2.933E-09,2.918E-09,3.309E-09,3.257E-09,2.975E-09,3.034E-09,3.424E-09,-2.586E-09,-2.382E-09,-2.343E-09,-2.873E-09,-2.581E-09,-2.375E-09,-2.459E-09,-2.866E-09
-1.5,3.56E-09,3.263E-09,3.225E-09,3.629E-09,3.449E-09,3.248E-09,3.332E-09,3.927E-09,-3.056E-09,-2.756E-09,-2.743E-09,-3.088E-09,-2.939E-09,-2.697E-09,-2.824E-09,-3.323E-09
-1.6,4.09E-09,3.713E-09,3.673E-09,4.042E-09,3.971E-09,3.612E-09,3.724E-09,4.207E-09,-3.501E-09,-3.152E-09,-3.163E-09,-3.324E-09,-3.351E-09,-3.113E-09,-3.198E-09,-3.687E-09
-1.7,4.448E-09,4.167E-09,4.146E-09,4.498E-09,4.56E-09,4.108E-09,4.192E-09,4.604E-09,-4.044E-09,-3.671E-09,-3.511E-09,-3.784E-09,-3.734E-09,-3.484E-09,-3.618E-09,-4.012E-09
-1.8,4.778E-09,4.739E-09,4.645E-09,4.695E-09,5.187E-09,4.435E-09,4.596E-09,4.999E-09,-4.384E-09,-4.219E-09,-4.06E-09,-4.043E-09,-4.01E-09,-3.873E-09,-4.025E-09,-4.478E-09
-1.9,5.169E-09,5.172E-09,5.026E-09,5.192E-09,4.697E-09,4.894E-09,5.037E-09,5.467E-09,-4.518E-09,-4.786E-09,-4.666E-09,-4.593E-09,-4.171E-09,-4.332E-09,-4.502E-09,-4.961E-09
-2,5.466E-09,5.77E-09,5.709E-09,5.658E-09,5.184E-09,5.301E-09,5.999E-09,5.978E-09,-4.915E-09,-5.229E-09,-5.033E-09,-4.754E-09,-4.647E-09,-4.783E-09,-5.515E-09,-5.369E-09
-2.1,5.862E-09,6.151E-09,5.963E-09,5.391E-09,5.679E-09,5.769E-09,6.46E-09,6.3E-09,-5.208E-09,-5.665E-09,-5.483E-09,-4.921E-09,-5.029E-09,-5.212E-09,-5.918E-09,-5.82E-09
-2.2,6.241E-09,6.619E-09,6.488E-09,5.989E-09,6.152E-09,6.254E-09,6.879E-09,6.863E-09,-5.811E-09,-6.092E-09,-5.99E-09,-5.493E-09,-5.638E-09,-5.763E-09,-6.417E-09,-6.376E-09
-2.3,6.788E-09,7.125E-09,7.242E-09,6.569E-09,6.956E-09,6.823E-09,7.234E-09,7.395E-09,-6.075E-09,-6.581E-09,-6.657E-09,-6.16E-09,-6.329E-09,-6.234E-09,-6.727E-09,-6.842E-09
-2.4,7.116E-09,7.033E-09,7.581E-09,7.137E-09,7.193E-09,7.319E-09,7.766E-09,7.891E-09,-6.947E-09,-6.959E-09,-7.194E-09,-7.228E-09,-6.973E-09,-6.831E-09,-7.27E-09,-7.482E-09
-2.5,7.73E-09,7.919E-09,8.166E-09,8.186E-09,7.974E-09,7.903E-09,8.313E-09,8.463E-09,-7.262E-09,-7.314E-09,-7.789E-09,-7.737E-09,-7.728E-09,-7.547E-09,-7.833E-09,-7.759E-09
-2.6,8.15E-09,8.074E-09,8.507E-09,8.825E-09,8.618E-09,8.654E-09,8.838E-09,8.908E-09,-7.923E-09,-7.739E-09,-7.923E-09,-8.732E-09,-8.249E-09,-8.379E-09,-8.704E-09,-8.564E-09
-2.7,8.86E-09,8.972E-09,9.118E-09,1.001E-08,9.423E-09,9.703E-09,9.783E-09,9.729E-09,-9.201E-09,-8.773E-09,-8.6E-09,-9.264E-09,-9.057E-09,-9.193E-09,-9.42E-09,-9.332E-09
