SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-7.34E-10,-3.8818E-08,-4.259E-08,-3.6328E-08,-3.7443E-08,-4.6904E-08,-4.8596E-08,-5.0205E-08,5.85E-10,2.6486E-08,3.1228E-08,2.9436E-08,3.0702E-08,3.687E-08,3.8503E-08,4.0044E-08
0.4,1.5E-09,-1.9439E-08,-2.3802E-08,-2.268E-08,-2.3723E-08,-2.8853E-08,-3.0205E-08,-3.1462E-08,-1.32E-10,1.7763E-08,2.204E-08,2.1422E-08,2.2445E-08,2.7091E-08,2.8402E-08,2.9577E-08
0.3,1.878E-09,-1.2689E-08,-1.6387E-08,-1.5937E-08,-1.6716E-08,-2.0602E-08,-2.1615E-08,-2.2525E-08,-3.11E-10,1.1856E-08,1.5595E-08,1.5289E-08,1.6153E-08,1.9729E-08,2.0676E-08,2.1539E-08
0.2,2.044E-09,-7.924E-09,-1.1022E-08,-1.0649E-08,-1.1332E-08,-1.4233E-08,-1.4989E-08,-1.5589E-08,-4.75E-10,7.758E-09,1.066E-08,1.061E-08,1.1171E-08,1.3963E-08,1.4533E-08,1.5218E-08
0.1,2.175E-09,-4.562E-09,-6.873E-09,-6.807E-09,-7.162E-09,-9.363E-09,-9.59E-09,-1.0094E-08,-5.8E-10,4.858E-09,6.984E-09,6.978E-09,7.332E-09,9.398E-09,9.804E-09,1.0308E-08
0,2.242E-09,-2.817E-09,-3.87E-09,-3.731E-09,-3.932E-09,-5.571E-09,-5.81E-09,-6.161E-09,-6.73E-10,2.891E-09,4.305E-09,4.268E-09,4.489E-09,5.954E-09,6.256E-09,6.61E-09
-0.1,2.33E-09,-1.22E-10,-2.334E-09,-2.277E-09,-2.396E-09,-3.389E-09,-2.8E-09,-2.949E-09,-7.48E-10,1.336E-09,2.49E-09,2.456E-09,2.572E-09,3.518E-09,3.615E-09,3.842E-09
-0.2,2.4E-09,1.158E-09,4.25E-10,6.12E-10,4.34E-10,-4.4E-11,-1.716E-09,-1.87E-09,-8.16E-10,2.31E-10,9.51E-10,8.8E-10,9.4E-10,1.576E-09,1.983E-09,2.138E-09
-0.3,2.472E-09,2.066E-09,1.703E-09,1.933E-09,2.012E-09,1.597E-09,1.44E-09,1.4E-09,-9E-10,-4.45E-10,-2.25E-10,-3.11E-10,-3.24E-10,6.22E-10,4.6E-10,5.65E-10
-0.4,2.589E-09,2.721E-09,2.71E-09,2.985E-09,3.123E-09,6.41E-10,2.772E-09,2.781E-09,-9.9E-10,-9.81E-10,-9.21E-10,-1.117E-09,-1.113E-09,2.11E-10,-8.06E-10,-7.39E-10
-0.5,2.747E-09,3.284E-09,3.461E-09,3.838E-09,4.001E-09,1.179E-09,3.932E-09,3.973E-09,-1.124E-09,-1.492E-09,-1.613E-09,-1.84E-09,-1.888E-09,-4.49E-10,-1.615E-09,-1.568E-09
-0.6,2.913E-09,3.771E-09,4.125E-09,4.541E-09,4.737E-09,3.828E-09,4.757E-09,4.821E-09,-1.26E-09,-1.936E-09,-2.229E-09,-2.56E-09,-2.659E-09,-1.836E-09,-2.445E-09,-2.394E-09
-0.7,3.144E-09,4.066E-09,4.76E-09,5.253E-09,5.496E-09,4.958E-09,5.586E-09,5.642E-09,-1.459E-09,-2.348E-09,-2.8E-09,-3.262E-09,-3.402E-09,-2.819E-09,-3.259E-09,-3.279E-09
-0.8,3.402E-09,4.669E-09,5.28E-09,5.876E-09,6.138E-09,5.805E-09,6.293E-09,6.409E-09,-1.683E-09,-2.731E-09,-3.358E-09,-3.897E-09,-4.155E-09,-3.659E-09,-4.1E-09,-4.104E-09
