SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-7.5E-10,-1.8989E-08,-1.954E-08,-1.8775E-08,-1.9295E-08,-1.9495E-08,-1.9139E-08,-1.8201E-08,6.46E-10,1.425E-08,1.469E-08,1.3776E-08,1.4695E-08,1.4324E-08,1.4612E-08,1.4833E-08
0.4,2E-10,-1.0907E-08,-1.1747E-08,-1.1225E-08,-1.1987E-08,-1.1576E-08,-1.1563E-08,-1.1651E-08,1.77E-10,9.733E-09,1.0738E-08,1.0129E-08,1.0618E-08,1.0726E-08,1.0344E-08,1.0446E-08
0.3,5.22E-10,-7.316E-09,-8.196E-09,-8.024E-09,-8.138E-09,-8.441E-09,-7.915E-09,-8.251E-09,-5.9E-11,6.508E-09,7.33E-09,6.857E-09,7.414E-09,0.000000008,7.262E-09,7.52E-09
0.2,6.85E-10,-4.846E-09,-5.536E-09,-5.181E-09,-5.245E-09,-5.578E-09,-5.452E-09,-5.765E-09,-2.55E-10,4.456E-09,4.599E-09,5.09E-09,5.092E-09,5.409E-09,5.208E-09,5.401E-09
0.1,9.12E-10,-3.087E-09,-3.315E-09,-3.651E-09,-3.764E-09,-3.875E-09,-3.708E-09,-3.838E-09,-3.87E-10,2.998E-09,3.268E-09,3.55E-09,3.724E-09,3.631E-09,3.631E-09,3.744E-09
0,1.001E-09,-2.021E-09,-2.175E-09,-2.422E-09,-2.458E-09,-2.386E-09,-2.419E-09,-2.573E-09,-4.93E-10,1.95E-09,2.276E-09,2.442E-09,2.492E-09,2.533E-09,2.499E-09,2.67E-09
-0.1,1.172E-09,-8.45E-10,-1.394E-09,-1.642E-09,-1.356E-09,-1.686E-09,-1.622E-09,-1.734E-09,-5.87E-10,1.201E-09,1.468E-09,1.723E-09,1.54E-09,1.764E-09,1.642E-09,1.772E-09
-0.2,1.276E-09,-2.26E-10,-5.44E-10,-7.55E-10,-5.68E-10,-6.42E-10,-6.15E-10,-7.07E-10,-6.73E-10,6.44E-10,8.48E-10,1.047E-09,9.13E-10,0.000000001,9.39E-10,9.97E-10
-0.3,1.289E-09,2.85E-10,1.3E-11,-1.14E-10,-2E-12,-1.3E-10,3.5E-11,-9E-11,-7.35E-10,1.1E-10,3.8E-10,4.75E-10,4.32E-10,4.96E-10,3.88E-10,5.1E-10
-0.4,1.286E-09,6.81E-10,4.24E-10,3.42E-10,3.68E-10,4.17E-10,4.62E-10,3.54E-10,-8.19E-10,-1.83E-10,3.8E-11,9.1E-11,2.9E-11,8.8E-11,1.3E-11,1.09E-10
-0.5,1.529E-09,9.49E-10,7.43E-10,6.55E-10,8.04E-10,6.95E-10,7.88E-10,7.57E-10,-9.52E-10,-4.45E-10,-2.84E-10,-2.66E-10,-2.89E-10,-2.59E-10,-3.61E-10,-3.03E-10
-0.6,1.573E-09,1.17E-09,1.026E-09,1.02E-09,1.111E-09,1.106E-09,1.143E-09,1.1E-09,-1.034E-09,-6.78E-10,-4.65E-10,-4.97E-10,-5.54E-10,-5.53E-10,-5.83E-10,-5.32E-10
-0.7,1.661E-09,1.462E-09,1.331E-09,1.255E-09,1.338E-09,1.329E-09,1.341E-09,1.35E-09,-1.132E-09,-8.77E-10,-7.67E-10,-7.15E-10,-8.38E-10,-8E-10,-8.04E-10,-7.56E-10
