SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-2.136E-09,-3.202E-08,-3.095E-08,-3.1135E-08,-3.1483E-08,-3.2194E-08,-3.2609E-08,-3.3101E-08,-1E-12,0,1E-12,1E-12,2E-12,0,1E-12,1E-12
0.4,5.01E-10,-1.7694E-08,-1.8824E-08,-1.9422E-08,-1.9875E-08,-2.0377E-08,-2.0744E-08,-2.106E-08,1E-12,1E-12,-2E-12,0,-1E-12,0,-1E-12,0
0.3,1.443E-09,-1.2467E-08,-1.4031E-08,-1.4731E-08,-1.5077E-08,-1.5511E-08,-1.5821E-08,-1.6111E-08,-2E-12,-1E-12,0,-2E-12,1E-12,-1E-12,1E-12,-1E-12
0.2,1.844E-09,-8.607E-09,-1.0286E-08,-1.0893E-08,-1.1147E-08,-1.144E-08,-1.1702E-08,-1.1904E-08,1E-12,1E-12,-2E-12,-2E-12,-1E-12,1E-12,-1E-12,-2E-12
0.1,2.333E-09,-5.594E-09,-7.18E-09,-7.598E-09,-7.827E-09,-8.015E-09,-8.122E-09,-8.243E-09,-1E-12,-1E-12,-2E-12,-2E-12,1E-12,-1E-12,1E-12,0
0,2.417E-09,-3.404E-09,-4.589E-09,-4.874E-09,-5.079E-09,-5.199E-09,-5.207E-09,-5.289E-09,1E-12,-1E-12,-3E-12,-2E-12,-2E-12,-1E-12,-1E-12,-2E-12
-0.1,2.749E-09,-1.824E-09,-2.644E-09,-2.821E-09,-3.025E-09,-3.004E-09,-3.102E-09,-3.111E-09,-1E-12,0,-1E-12,-2E-12,-1E-12,-1E-12,-1E-12,-1E-12
-0.2,2.938E-09,2.82E-10,-3.83E-10,-4.69E-10,-5.81E-10,-4.95E-10,-5.34E-10,-4.93E-10,1E-12,0,1E-12,0,1E-12,0,1E-12,0
-0.3,3.105E-09,1.345E-09,9.56E-10,1.04E-09,9.31E-10,1.12E-09,1.132E-09,1.183E-09,-2E-12,1E-12,-2E-12,-2E-12,0,-2E-12,-1E-12,-2E-12
-0.4,3.314E-09,2.303E-09,2.118E-09,2.118E-09,2.224E-09,2.272E-09,2.298E-09,2.366E-09,1E-12,2E-12,1E-12,0,1E-12,0,1E-12,0
-0.5,3.547E-09,3.007E-09,3.004E-09,3.118E-09,3.197E-09,3.326E-09,3.397E-09,3.471E-09,-2E-12,-1E-12,-2E-12,-3E-12,-2E-12,-2E-12,-1E-12,-2E-12
-0.6,3.803E-09,3.579E-09,3.71E-09,3.776E-09,3.987E-09,4.127E-09,4.103E-09,4.299E-09,1E-12,1E-12,1E-12,0,1E-12,0,-1E-12,1E-12
-0.7,4.105E-09,4.098E-09,4.333E-09,4.519E-09,4.695E-09,4.845E-09,4.947E-09,5.03E-09,-2E-12,-2E-12,0,-3E-12,-2E-12,-2E-12,-1E-12,-2E-12
-0.8,4.432E-09,4.414E-09,4.787E-09,5.016E-09,5.271E-09,5.441E-09,5.567E-09,5.632E-09,0,1E-12,2E-12,-1E-12,0,0,1E-12,0
-0.9,4.887E-09,4.979E-09,5.358E-09,5.614E-09,3.84E-09,3.957E-09,6.1E-09,4.075E-09,-2E-12,-1E-12,-1E-12,-3E-12,0,1E-12,-1E-12,2E-12
-1,5.267E-09,5.28E-09,5.812E-09,6.09E-09,4.987E-09,5.137E-09,6.574E-09,5.3E-09,0,0,1E-12,0,0,0,1E-12,0
-1.1,3.708E-09,3.84E-09,4.277E-09,4.549E-09,5.569E-09,5.727E-09,4.858E-09,5.981E-09,-1E-12,0,1E-12,0,0,0,0,0
-1.2,4.392E-09,4.903E-09,5.293E-09,5.507E-09,6.073E-09,6.263E-09,5.93E-09,6.492E-09,1E-12,0,1E-12,0,0,1E-12,0,0
-1.3,5.902E-09,5.445E-09,5.795E-09,6.073E-09,6.429E-09,6.61E-09,6.499E-09,6.893E-09,3E-12,1E-12,1E-12,0,-2E-12,0,0,0
-1.4,4.771E-09,5.869E-09,6.23E-09,6.452E-09,6.796E-09,6.977E-09,6.888E-09,7.194E-09,1E-12,1E-12,1E-12,-1E-12,0,0,0,0
-1.5,6.106E-09,6.344E-09,6.625E-09,6.871E-09,7.123E-09,7.288E-09,7.314E-09,7.576E-09,0,0,1E-12,0,0,0,0,0
-1.6,6.832E-09,6.733E-09,7.014E-09,7.205E-09,7.483E-09,7.604E-09,7.688E-09,7.866E-09,0,0,0,0,-1E-12,0,0,-1E-12
-1.7,7.539E-09,7.162E-09,7.406E-09,7.627E-09,7.836E-09,8.001E-09,8.102E-09,8.262E-09,0,0,1E-12,1E-12,-1E-12,0,0,-1E-12
-1.8,8.205E-09,7.71E-09,7.878E-09,8.077E-09,8.324E-09,8.487E-09,8.622E-09,8.81E-09,0,1E-12,0,1E-12,-2E-12,-1E-12,0,0
-1.9,8.931E-09,8.242E-09,8.411E-09,8.619E-09,8.871E-09,9.342E-09,9.556E-09,9.735E-09,0,1E-12,1E-12,2E-12,-3E-12,1E-12,-1E-12,-2E-12
-2,1.0012E-08,8.882E-09,9.074E-09,9.293E-09,9.815E-09,1.0094E-08,1.0323E-08,1.0517E-08,-2E-12,1E-12,1E-12,1E-12,-2E-12,1E-12,1E-12,-1E-12
-2.1,1.0822E-08,9.911E-09,1.0048E-08,1.0248E-08,1.0635E-08,1.0946E-08,1.1199E-08,1.1448E-08,0,-2E-12,-2E-12,-1E-12,0,-1E-12,-1E-12,-3E-12
-2.2,1.1749E-08,1.0628E-08,1.0927E-08,1.1133E-08,1.1512E-08,1.1801E-08,1.2122E-08,1.2283E-08,-2E-12,1E-12,1E-12,1E-12,-2E-12,0,0,0
-2.3,1.2625E-08,1.1561E-08,1.1875E-08,1.2063E-08,1.2431E-08,1.2702E-08,1.3063E-08,1.3205E-08,0,-2E-12,-2E-12,-1E-12,1E-12,-2E-12,-2E-12,-2E-12
-2.4,1.3517E-08,1.2454E-08,1.2819E-08,1.2953E-08,1.3386E-08,1.3685E-08,1.3987E-08,1.4222E-08,-2E-12,1E-12,1E-12,1E-12,-1E-12,0,0,0
-2.5,1.4406E-08,1.3467E-08,1.3825E-08,1.4018E-08,1.4406E-08,1.4715E-08,1.489E-08,1.5337E-08,0,-1E-12,-2E-12,-2E-12,1E-12,-2E-12,-2E-12,-2E-12
-2.6,1.5538E-08,1.4492E-08,1.4877E-08,1.5103E-08,1.552E-08,1.5794E-08,1.6012E-08,1.6449E-08,-3E-12,1E-12,1E-12,1E-12,-1E-12,0,1E-12,0
-2.7,1.6497E-08,1.5642E-08,1.5974E-08,1.6285E-08,1.6657E-08,1.6938E-08,1.7199E-08,1.7645E-08,1E-12,-2E-12,-2E-12,-1E-12,2E-12,-2E-12,-1E-12,-1E-12
-2.8,1.746E-08,1.6818E-08,1.7109E-08,1.7382E-08,1.7907E-08,1.8254E-08,1.8453E-08,1.8932E-08,-2E-12,0,1E-12,1E-12,0,0,1E-12,0
-2.9,1.8698E-08,1.804E-08,1.8388E-08,1.8677E-08,1.9234E-08,1.9562E-08,1.9769E-08,2.0267E-08,1E-12,-1E-12,-1E-12,-1E-12,1E-12,-2E-12,-1E-12,-2E-12
-3,1.996E-08,1.9409E-08,1.9761E-08,2.0066E-08,2.0591E-08,2.0909E-08,2.1135E-08,2.1697E-08,-1E-12,0,1E-12,1E-12,0,1E-12,1E-12,1E-12
-3.1,2.136E-08,2.076E-08,2.12E-08,2.1581E-08,2.2145E-08,2.2555E-08,2.2657E-08,2.3254E-08,1E-12,-1E-12,-1E-12,-1E-12,1E-12,-2E-12,-1E-12,-1E-12
-3.2,2.2843E-08,2.2259E-08,2.275E-08,2.3227E-08,2.3812E-08,2.4161E-08,2.4305E-08,2.4939E-08,-1E-12,0,1E-12,1E-12,-1E-12,0,0,1E-12
-3.3,2.4337E-08,2.3951E-08,2.4422E-08,2.4919E-08,2.558E-08,2.6048E-08,2.6141E-08,2.6747E-08,1E-12,-2E-12,-2E-12,-2E-12,1E-12,-3E-12,-1E-12,-1E-12
-3.4,2.5956E-08,2.5777E-08,2.6291E-08,2.6819E-08,2.7433E-08,2.785E-08,2.807E-08,2.865E-08,-1E-12,0,1E-12,1E-12,-1E-12,-2E-12,0,0
-3.5,2.7667E-08,2.7569E-08,2.8257E-08,2.8813E-08,2.9539E-08,2.9935E-08,3.0117E-08,3.0824E-08,1E-12,-2E-12,-1E-12,-1E-12,0,-3E-12,-1E-12,-1E-12
