SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-8.41E-10,-1.5577E-08,-1.6273E-08,-1.6355E-08,-1.6647E-08,-1.7029E-08,-1.7278E-08,-1.7583E-08,7.15E-10,1.2084E-08,1.2526E-08,1.2456E-08,1.2628E-08,1.2829E-08,1.3078E-08,1.3201E-08
0.4,6E-11,-9.787E-09,-1.0108E-08,-9.97E-09,-1.01E-08,-1.0181E-08,-1.0392E-08,-1.0407E-08,2.19E-10,8.958E-09,9.206E-09,9.07E-09,9.128E-09,7.67E-09,9.42E-09,9.368E-09
0.3,4.24E-10,-7.17E-09,-7.351E-09,-7.183E-09,-7.21E-09,-5.87E-09,-7.384E-09,-7.331E-09,-7.2E-11,6.589E-09,6.775E-09,6.604E-09,6.623E-09,5.424E-09,6.778E-09,6.739E-09
0.2,6.73E-10,-5.174E-09,-5.33E-09,-5.149E-09,-5.137E-09,-4.104E-09,-5.217E-09,-5.165E-09,-3.05E-10,4.837E-09,4.997E-09,4.838E-09,4.848E-09,3.923E-09,4.893E-09,4.87E-09
0.1,8.62E-10,-3.678E-09,-3.829E-09,-3.551E-09,-3.63E-09,-2.823E-09,-3.632E-09,-3.597E-09,-4.66E-10,3.506E-09,3.675E-09,3.349E-09,3.503E-09,2.692E-09,3.489E-09,3.473E-09
0,9.44E-10,-2.529E-09,-2.694E-09,-2.363E-09,-2.511E-09,-1.748E-09,-2.469E-09,-2.447E-09,-5.84E-10,2.393E-09,2.567E-09,2.381E-09,2.406E-09,1.855E-09,2.36E-09,2.332E-09
-0.1,1.107E-09,-1.481E-09,-1.642E-09,-1.515E-09,-1.454E-09,-1.028E-09,-1.417E-09,-1.377E-09,-6.91E-10,1.624E-09,1.795E-09,1.657E-09,1.638E-09,1.231E-09,1.569E-09,1.545E-09
-0.2,1.203E-09,-8.62E-10,-9.71E-10,-8.32E-10,-8.01E-10,-4.22E-10,-6.91E-10,-6.42E-10,-7.93E-10,1.034E-09,1.197E-09,1.082E-09,1.059E-09,7.39E-10,9.7E-10,9.35E-10
-0.3,1.238E-09,-2.91E-10,-4.4E-10,-3.28E-10,-2.93E-10,9E-12,-1.71E-10,-1.13E-10,-8.65E-10,5.7E-10,7.25E-10,6.39E-10,6.13E-10,3.51E-10,5.22E-10,4.8E-10
-0.4,1.372E-09,1.23E-10,-9E-12,7.6E-11,1.13E-10,3.59E-10,2.4E-10,3.01E-10,-9.53E-10,1.98E-10,3.33E-10,2.73E-10,2.42E-10,3.5E-11,1.5E-10,1.04E-10
-0.5,1.478E-09,4.17E-10,3.49E-10,3.61E-10,3.97E-10,6.58E-10,5.23E-10,5.88E-10,-1.047E-09,-9.9E-11,2.9E-11,-2.4E-11,-5.3E-11,-2.29E-10,-1.41E-10,-1.88E-10
-0.6,1.573E-09,7.4E-10,5.83E-10,6.97E-10,7.35E-10,8.47E-10,8.62E-10,9.34E-10,-1.144E-09,-3.66E-10,-2.5E-10,-2.98E-10,-3.14E-10,-4.64E-10,-4.14E-10,-4.73E-10
-0.7,1.686E-09,0.000000001,9.1E-10,9.61E-10,9.98E-10,1.148E-09,1.136E-09,1.217E-09,-1.248E-09,-5.92E-10,-5.03E-10,-5.33E-10,-5.47E-10,-6.87E-10,-6.61E-10,-7.28E-10
-0.8,1.808E-09,1.227E-09,1.154E-09,1.196E-09,1.243E-09,1.382E-09,1.388E-09,1.476E-09,-1.368E-09,-8.15E-10,-7.35E-10,-7.64E-10,-7.76E-10,-9.11E-10,-9.13E-10,-9.77E-10
